starting_times,source_nodes,target_nodes,ending_times,durations
100,102,119,120,20
100,109,111,120,20
100,109,113,120,20
100,79,84,120,20
100,115,110,120,20
100,18,10,120,20
100,12,9,120,20
100,176,180,120,20
120,215,209,140,20
120,225,227,140,20
120,158,154,140,20
120,125,130,140,20
120,54,48,140,20
120,43,33,140,20
120,23,32,140,20
120,24,31,140,20
120,25,37,140,20
120,25,232,140,20
120,42,34,140,20
120,42,36,140,20
120,41,29,140,20
120,41,47,140,20
120,34,36,140,20
120,37,232,140,20
120,96,95,140,20
120,96,75,140,20
120,81,91,140,20
120,98,114,140,20
120,98,119,140,20
120,99,109,140,20
120,99,116,140,20
120,99,113,140,20
120,102,119,140,20
120,109,116,140,20
120,79,84,140,20
120,77,90,140,20
120,20,7,140,20
120,29,47,140,20
120,18,10,140,20
120,12,9,140,20
120,111,103,140,20
120,170,167,140,20
120,110,104,140,20
120,169,177,140,20
120,177,165,140,20
140,215,209,160,20
140,207,220,160,20
140,213,225,160,20
140,206,226,160,20
140,216,217,160,20
140,225,227,160,20
140,143,141,160,20
140,125,130,160,20
140,132,128,160,20
140,54,48,160,20
140,181,180,160,20
140,43,33,160,20
140,23,32,160,20
140,25,35,160,20
140,25,232,160,20
140,28,37,160,20
140,31,34,160,20
140,31,35,160,20
140,31,232,160,20
140,42,36,160,20
140,35,232,160,20
140,39,47,160,20
140,96,95,160,20
140,96,75,160,20
140,81,91,160,20
140,98,115,160,20
140,98,103,160,20
140,102,231,160,20
140,105,111,160,20
140,109,111,160,20
140,79,84,160,20
140,108,103,160,20
140,108,113,160,20
140,78,91,160,20
140,18,10,160,20
140,12,9,160,20
140,116,113,160,20
140,169,178,160,20
140,103,113,160,20
140,177,165,160,20
140,89,93,160,20
160,205,222,180,20
160,207,220,180,20
160,148,159,180,20
160,142,158,180,20
160,142,152,180,20
160,142,154,180,20
160,149,153,180,20
160,158,152,180,20
160,158,154,180,20
160,125,130,180,20
160,52,68,180,20
160,54,48,180,20
160,182,171,180,20
160,237,79,180,20
160,237,95,180,20
160,237,84,180,20
160,228,154,180,20
160,43,33,180,20
160,23,32,180,20
160,25,31,180,20
160,25,35,180,20
160,25,232,180,20
160,31,35,180,20
160,31,232,180,20
160,37,45,180,20
160,39,47,180,20
160,88,77,180,20
160,88,92,180,20
160,96,74,180,20
160,96,75,180,20
160,86,74,180,20
160,81,91,180,20
160,98,115,180,20
160,80,77,180,20
160,80,92,180,20
160,79,84,180,20
160,77,92,180,20
160,18,10,180,20
160,12,9,180,20
160,111,103,180,20
160,116,113,180,20
160,172,178,180,20
160,93,82,180,20
180,215,216,200,20
180,208,222,200,20
180,148,159,200,20
180,143,228,200,20
180,142,154,200,20
180,149,147,200,20
180,158,154,200,20
180,160,151,200,20
180,125,130,200,20
180,139,121,200,20
180,132,128,200,20
180,52,68,200,20
180,69,58,200,20
180,237,96,200,20
180,43,33,200,20
180,25,35,200,20
180,25,36,200,20
180,25,232,200,20
180,26,37,200,20
180,42,46,200,20
180,34,36,200,20
180,34,45,200,20
180,35,36,200,20
180,35,45,200,20
180,36,232,200,20
180,39,47,200,20
180,88,92,200,20
180,96,95,200,20
180,96,75,200,20
180,98,99,200,20
180,98,117,200,20
180,80,71,200,20
180,0,18,200,20
180,0,10,200,20
180,18,10,200,20
180,12,9,200,20
180,116,113,200,20
180,177,178,200,20
180,89,93,200,20
180,49,60,200,20
200,205,221,220,20
200,212,219,220,20
200,208,222,220,20
200,226,219,220,20
200,143,228,220,20
200,142,158,220,20
200,229,169,220,20
200,150,151,220,20
200,149,147,220,20
200,149,160,220,20
200,158,154,220,20
200,125,130,220,20
200,51,234,220,20
200,69,57,220,20
200,43,33,220,20
200,26,37,220,20
200,28,37,220,20
200,42,46,220,20
200,34,36,220,20
200,35,36,220,20
200,35,45,220,20
200,36,45,220,20
200,39,47,220,20
200,87,89,220,20
200,86,74,220,20
200,83,75,220,20
200,99,119,220,20
200,121,120,220,20
200,108,103,220,20
200,232,46,220,20
200,0,18,220,20
200,18,10,220,20
200,13,10,220,20
200,13,8,220,20
200,12,9,220,20
200,116,113,220,20
200,103,113,220,20
200,167,178,220,20
220,205,221,240,20
220,143,228,240,20
220,143,145,240,20
220,150,151,240,20
220,126,129,240,20
220,125,130,240,20
220,139,121,240,20
220,139,120,240,20
220,132,128,240,20
220,132,130,240,20
220,128,130,240,20
220,51,234,240,20
220,52,68,240,20
220,54,48,240,20
220,54,70,240,20
220,181,176,240,20
220,228,145,240,20
220,228,154,240,20
220,43,33,240,20
220,25,45,240,20
220,28,37,240,20
220,42,47,240,20
220,41,47,240,20
220,34,232,240,20
220,34,45,240,20
220,130,138,240,20
220,39,232,240,20
220,88,92,240,20
220,96,75,240,20
220,22,3,240,20
220,98,103,240,20
220,108,113,240,20
220,232,47,240,20
220,231,107,240,20
220,19,0,240,20
220,114,104,240,20
220,164,166,240,20
220,173,169,240,20
220,169,180,240,20
220,171,165,240,20
220,89,93,240,20
220,48,59,240,20
220,59,70,240,20
240,210,211,260,20
240,207,220,260,20
240,142,154,260,20
240,151,156,260,20
240,123,139,260,20
240,123,132,260,20
240,126,129,260,20
240,126,128,260,20
240,139,129,260,20
240,132,128,260,20
240,129,138,260,20
240,128,130,260,20
240,128,138,260,20
240,52,68,260,20
240,56,62,260,20
240,56,60,260,20
240,23,25,260,20
240,24,31,260,20
240,24,36,260,20
240,25,35,260,20
240,25,232,260,20
240,25,45,260,20
240,26,38,260,20
240,28,35,260,20
240,28,37,260,20
240,31,33,260,20
240,41,47,260,20
240,130,138,260,20
240,32,232,260,20
240,88,92,260,20
240,88,71,260,20
240,96,86,260,20
240,96,75,260,20
240,94,89,260,20
240,81,73,260,20
240,98,105,260,20
240,98,110,260,20
240,98,113,260,20
240,80,92,260,20
240,20,9,260,20
240,0,18,260,20
240,14,8,260,20
240,13,8,260,20
240,169,180,260,20
240,162,163,260,20
240,89,93,260,20
240,93,82,260,20
260,211,217,280,20
260,207,225,280,20
260,213,225,280,20
260,213,218,280,20
260,225,218,280,20
260,223,218,280,20
260,142,144,280,20
260,229,164,280,20
260,229,180,280,20
260,147,153,280,20
260,123,132,280,20
260,139,132,280,20
260,139,128,280,20
260,137,138,280,20
260,134,138,280,20
260,131,138,280,20
260,52,68,280,20
260,69,57,280,20
260,237,96,280,20
260,43,33,280,20
260,23,232,280,20
260,25,232,280,20
260,25,44,280,20
260,26,38,280,20
260,28,37,280,20
260,88,92,280,20
260,88,71,280,20
260,86,78,280,20
260,86,74,280,20
260,86,82,280,20
260,81,71,280,20
260,122,121,280,20
260,105,119,280,20
260,105,103,280,20
260,79,78,280,20
260,77,92,280,20
260,77,71,280,20
260,0,18,280,20
260,3,14,280,20
260,14,13,280,20
260,14,12,280,20
260,13,8,280,20
260,164,169,280,20
260,166,176,280,20
260,174,165,280,20
260,169,180,280,20
280,207,216,300,20
280,226,227,300,20
280,223,218,300,20
280,142,151,300,20
280,142,152,300,20
280,149,153,300,20
280,139,132,300,20
280,134,122,300,20
280,132,128,300,20
280,132,130,300,20
280,52,66,300,20
280,52,68,300,20
280,54,48,300,20
280,56,62,300,20
280,56,67,300,20
280,161,145,300,20
280,69,57,300,20
280,58,48,300,20
280,43,24,300,20
280,43,33,300,20
280,23,25,300,20
280,23,28,300,20
280,25,232,300,20
280,26,37,300,20
280,28,35,300,20
280,31,36,300,20
280,39,232,300,20
280,39,47,300,20
280,88,76,300,20
280,88,92,300,20
280,22,0,300,20
280,81,91,300,20
280,98,110,300,20
280,101,104,300,20
280,122,120,300,20
280,78,92,300,20
280,0,18,300,20
280,29,46,300,20
280,17,7,300,20
280,15,14,300,20
280,14,13,300,20
280,44,45,300,20
280,7,4,300,20
280,116,113,300,20
280,166,177,300,20
280,173,180,300,20
280,171,177,300,20
280,84,89,300,20
280,59,67,300,20
300,208,222,320,20
300,223,218,320,20
300,148,147,320,20
300,143,146,320,20
300,142,158,320,20
300,142,151,320,20
300,142,152,320,20
300,149,147,320,20
300,151,152,320,20
300,123,128,320,20
300,125,129,320,20
300,134,122,320,20
300,134,120,320,20
300,132,130,320,20
300,131,138,320,20
300,129,138,320,20
300,128,130,320,20
300,52,68,320,20
300,54,48,320,20
300,56,62,320,20
300,62,67,320,20
300,237,83,320,20
300,23,25,320,20
300,26,37,320,20
300,26,38,320,20
300,26,232,320,20
300,26,45,320,20
300,38,232,320,20
300,39,232,320,20
300,96,79,320,20
300,96,95,320,20
300,22,3,320,20
300,22,17,320,20
300,83,95,320,20
300,81,91,320,20
300,98,115,320,20
300,105,231,320,20
300,79,95,320,20
300,231,110,320,20
300,0,18,320,20
300,1,7,320,20
300,3,17,320,20
300,29,46,320,20
300,29,47,320,20
300,21,14,320,20
300,9,7,320,20
300,116,113,320,20
300,166,169,320,20
300,166,177,320,20
300,84,93,320,20
300,167,178,320,20
300,93,82,320,20
320,215,206,340,20
320,209,216,340,20
320,208,222,340,20
320,206,226,340,20
320,187,202,340,20
320,223,218,340,20
320,142,152,340,20
320,149,228,340,20
320,123,132,340,20
320,126,125,340,20
320,125,129,340,20
320,139,120,340,20
320,51,70,340,20
320,52,66,340,20
320,69,58,340,20
320,63,65,340,20
320,237,83,340,20
320,23,25,340,20
320,23,32,340,20
320,23,232,340,20
320,26,37,340,20
320,26,38,340,20
320,39,46,340,20
320,32,232,340,20
320,32,47,340,20
320,152,156,340,20
320,96,95,340,20
320,22,0,340,20
320,98,115,340,20
320,98,113,340,20
320,79,95,340,20
320,0,13,340,20
320,29,46,340,20
320,29,47,340,20
320,21,17,340,20
320,15,14,340,20
320,13,10,340,20
320,174,163,340,20
320,84,82,340,20
320,59,67,340,20
320,60,67,340,20
340,215,209,360,20
340,212,207,360,20
340,207,227,360,20
340,207,236,360,20
340,208,222,360,20
340,206,226,360,20
340,194,187,360,20
340,141,147,360,20
340,125,131,360,20
340,51,57,360,20
340,52,68,360,20
340,53,61,360,20
340,69,57,360,20
340,58,48,360,20
340,23,25,360,20
340,23,32,360,20
340,23,232,360,20
340,24,28,360,20
340,26,37,360,20
340,28,37,360,20
340,39,47,360,20
340,32,232,360,20
340,152,156,360,20
340,96,83,360,20
340,96,95,360,20
340,81,91,360,20
340,81,92,360,20
340,98,115,360,20
340,80,71,360,20
340,105,108,360,20
340,77,76,360,20
340,20,7,360,20
340,0,4,360,20
340,1,17,360,20
340,1,16,360,20
340,3,8,360,20
340,29,46,360,20
340,117,116,360,20
340,103,113,360,20
360,212,226,380,20
360,208,222,380,20
360,206,225,380,20
360,191,186,380,20
360,191,195,380,20
360,186,198,380,20
360,186,195,380,20
360,198,204,380,20
360,198,201,380,20
360,185,193,380,20
360,187,189,380,20
360,195,204,380,20
360,202,201,380,20
360,141,161,380,20
360,139,127,380,20
360,134,122,380,20
360,50,70,380,20
360,51,69,380,20
360,52,66,380,20
360,52,68,380,20
360,53,61,380,20
360,24,34,380,20
360,24,38,380,20
360,26,37,380,20
360,28,37,380,20
360,39,32,380,20
360,32,232,380,20
360,88,78,380,20
360,96,78,380,20
360,22,0,380,20
360,81,73,380,20
360,98,115,380,20
360,105,108,380,20
360,108,111,380,20
360,77,90,380,20
360,20,7,380,20
360,0,18,380,20
360,29,46,380,20
360,14,13,380,20
360,173,162,380,20
360,169,167,380,20
360,93,82,380,20
380,215,221,400,20
380,212,207,400,20
380,208,222,400,20
380,196,197,400,20
380,196,195,400,20
380,194,199,400,20
380,191,188,400,20
380,186,195,400,20
380,186,235,400,20
380,195,235,400,20
380,204,201,400,20
380,150,158,400,20
380,137,131,400,20
380,134,122,400,20
380,50,70,400,20
380,51,52,400,20
380,52,66,400,20
380,54,68,400,20
380,55,234,400,20
380,237,72,400,20
380,228,154,400,20
380,43,33,400,20
380,23,32,400,20
380,23,232,400,20
380,26,28,400,20
380,31,36,400,20
380,31,37,400,20
380,31,44,400,20
380,33,37,400,20
380,36,44,400,20
380,37,32,400,20
380,39,232,400,20
380,136,138,400,20
380,233,231,400,20
380,22,0,400,20
380,81,71,400,20
380,98,115,400,20
380,98,103,400,20
380,99,105,400,20
380,80,71,400,20
380,115,103,400,20
380,77,76,400,20
380,15,8,400,20
380,15,7,400,20
380,15,4,400,20
380,44,45,400,20
380,177,165,400,20
400,205,221,420,20
400,205,220,420,20
400,209,221,420,20
400,212,219,420,20
400,207,236,420,20
400,194,199,420,20
400,198,201,420,20
400,185,204,420,20
400,185,193,420,20
400,199,204,420,20
400,148,147,420,20
400,149,155,420,20
400,126,131,420,20
400,137,134,420,20
400,137,138,420,20
400,134,138,420,20
400,131,136,420,20
400,131,138,420,20
400,52,55,420,20
400,56,62,420,20
400,56,234,420,20
400,56,49,420,20
400,62,60,420,20
400,43,33,420,20
400,23,25,420,20
400,23,32,420,20
400,23,45,420,20
400,26,37,420,20
400,26,232,420,20
400,28,37,420,20
400,33,232,420,20
400,39,47,420,20
400,136,138,420,20
400,233,231,420,20
400,81,91,420,20
400,98,115,420,20
400,122,121,420,20
400,80,71,420,20
400,78,75,420,20
400,29,46,420,20
400,16,14,420,20
400,44,45,420,20
400,116,113,420,20
400,173,178,420,20
400,89,93,420,20
420,205,220,440,20
420,207,220,440,20
420,206,226,440,20
420,196,194,440,20
420,188,187,440,20
420,186,197,440,20
420,186,235,440,20
420,223,218,440,20
420,197,200,440,20
420,197,235,440,20
420,199,195,440,20
420,200,235,440,20
420,149,153,440,20
420,149,155,440,20
420,153,155,440,20
420,153,145,440,20
420,160,152,440,20
420,126,136,440,20
420,125,134,440,20
420,125,130,440,20
420,131,136,440,20
420,131,138,440,20
420,128,130,440,20
420,54,58,440,20
420,54,68,440,20
420,56,62,440,20
420,56,49,440,20
420,69,57,440,20
420,40,29,440,20
420,23,25,440,20
420,23,45,440,20
420,24,45,440,20
420,26,37,440,20
420,28,37,440,20
420,33,232,440,20
420,136,138,440,20
420,98,113,440,20
420,79,78,440,20
420,29,46,440,20
420,118,104,440,20
420,97,113,440,20
420,95,75,440,20
440,205,221,460,20
440,213,218,460,20
440,194,187,460,20
440,186,193,460,20
440,223,218,460,20
440,197,202,460,20
440,149,155,460,20
440,155,157,460,20
440,125,134,460,20
440,125,130,460,20
440,134,131,460,20
440,50,70,460,20
440,53,61,460,20
440,237,95,460,20
440,40,29,460,20
440,23,25,460,20
440,23,45,460,20
440,25,45,460,20
440,26,37,460,20
440,86,73,460,20
440,81,91,460,20
440,98,114,460,20
440,79,78,460,20
440,79,95,460,20
440,79,73,460,20
440,78,95,460,20
440,14,13,460,20
440,166,178,460,20
440,110,97,460,20
440,73,75,460,20
440,93,82,460,20
440,48,49,460,20
460,187,189,480,20
460,197,184,480,20
460,199,235,480,20
460,149,153,480,20
460,149,155,480,20
460,147,161,480,20
460,153,161,480,20
460,126,129,480,20
460,125,134,480,20
460,125,130,480,20
460,125,122,480,20
460,139,127,480,20
460,134,138,480,20
460,132,128,480,20
460,131,136,480,20
460,128,122,480,20
460,50,70,480,20
460,52,234,480,20
460,53,61,480,20
460,55,234,480,20
460,161,228,480,20
460,237,95,480,20
460,23,25,480,20
460,24,36,480,20
460,25,45,480,20
460,26,37,480,20
460,28,232,480,20
460,42,36,480,20
460,39,47,480,20
460,22,19,480,20
460,98,114,480,20
460,80,71,480,20
460,79,78,480,20
460,73,93,480,20
460,93,82,480,20
480,215,216,500,20
480,203,193,500,20
480,149,145,500,20
480,160,152,500,20
480,123,127,500,20
480,125,129,500,20
480,139,128,500,20
480,139,127,500,20
480,137,138,500,20
480,134,183,500,20
480,127,120,500,20
480,52,234,500,20
480,52,68,500,20
480,54,58,500,20
480,54,48,500,20
480,161,228,500,20
480,69,58,500,20
480,40,31,500,20
480,40,46,500,20
480,23,25,500,20
480,24,36,500,20
480,24,46,500,20
480,26,37,500,20
480,28,38,500,20
480,28,232,500,20
480,31,46,500,20
480,38,39,500,20
480,39,47,500,20
480,136,138,500,20
480,22,19,500,20
480,98,114,500,20
480,16,14,500,20
480,169,177,500,20
480,177,167,500,20
500,199,204,520,20
500,143,155,520,20
500,204,235,520,20
500,149,155,520,20
500,147,155,520,20
500,151,152,520,20
500,123,139,520,20
500,123,132,520,20
500,124,139,520,20
500,126,138,520,20
500,139,132,520,20
500,127,138,520,20
500,50,70,520,20
500,52,56,520,20
500,52,65,520,20
500,52,68,520,20
500,69,58,520,20
500,40,31,520,20
500,23,25,520,20
500,23,32,520,20
500,26,37,520,20
500,26,38,520,20
500,28,39,520,20
500,28,232,520,20
500,34,44,520,20
500,136,133,520,20
500,88,72,520,20
500,88,92,520,20
500,96,75,520,20
500,81,91,520,20
500,105,119,520,20
500,231,117,520,20
500,19,4,520,20
500,21,15,520,20
500,14,7,520,20
500,116,119,520,20
500,164,177,520,20
500,73,93,520,20
500,93,82,520,20
520,205,221,540,20
520,207,220,540,20
520,186,193,540,20
520,198,189,540,20
520,190,199,540,20
520,190,204,540,20
520,197,193,540,20
520,200,204,540,20
520,200,184,540,20
520,200,235,540,20
520,204,184,540,20
520,204,235,540,20
520,229,166,540,20
520,141,150,540,20
520,141,153,540,20
520,149,153,540,20
520,149,155,540,20
520,153,157,540,20
520,151,152,540,20
520,126,132,540,20
520,139,132,540,20
520,139,138,540,20
520,135,128,540,20
520,131,133,540,20
520,52,68,540,20
520,54,69,540,20
520,54,48,540,20
520,56,69,540,20
520,40,30,540,20
520,23,25,540,20
520,28,232,540,20
520,30,46,540,20
520,41,47,540,20
520,34,44,540,20
520,37,38,540,20
520,39,32,540,20
520,32,232,540,20
520,136,133,540,20
520,138,121,540,20
520,86,74,540,20
520,101,97,540,20
520,105,119,540,20
520,79,78,540,20
520,108,116,540,20
520,108,119,540,20
520,231,103,540,20
520,77,76,540,20
520,19,3,540,20
520,19,4,540,20
520,21,15,540,20
520,117,110,540,20
520,110,104,540,20
520,110,97,540,20
540,215,209,560,20
540,188,187,560,20
540,186,235,560,20
540,148,151,560,20
540,147,160,560,20
540,159,151,560,20
540,124,126,560,20
540,124,137,560,20
540,125,131,560,20
540,137,132,560,20
540,137,130,560,20
540,137,136,560,20
540,132,136,560,20
540,52,55,560,20
540,54,58,560,20
540,56,69,560,20
540,58,48,560,20
540,40,30,560,20
540,23,32,560,20
540,235,193,560,20
540,28,32,560,20
540,28,232,560,20
540,30,46,560,20
540,41,47,560,20
540,34,44,560,20
540,35,38,560,20
540,37,38,560,20
540,32,232,560,20
540,98,115,560,20
540,79,74,560,20
540,108,231,560,20
540,108,107,560,20
540,231,116,560,20
540,77,76,560,20
540,21,15,560,20
540,117,113,560,20
540,116,103,560,20
540,59,70,560,20
560,207,220,580,20
560,188,200,580,20
560,142,144,580,20
560,139,135,580,20
560,131,130,580,20
560,129,120,580,20
560,50,68,580,20
560,52,54,580,20
560,52,55,580,20
560,56,48,580,20
560,43,37,580,20
560,26,37,580,20
560,28,35,580,20
560,28,32,580,20
560,28,232,580,20
560,41,47,580,20
560,22,4,580,20
560,106,113,580,20
560,101,117,580,20
560,105,109,580,20
560,109,117,580,20
560,79,74,580,20
560,231,119,580,20
560,231,103,580,20
560,77,76,580,20
560,19,4,580,20
560,20,11,580,20
560,20,4,580,20
560,107,111,580,20
560,21,15,580,20
560,117,110,580,20
560,104,97,580,20
560,100,113,580,20
560,100,112,580,20
580,200,235,600,20
580,150,152,600,20
580,147,228,600,20
580,125,138,600,20
580,53,56,600,20
580,54,48,600,20
580,161,145,600,20
580,228,116,600,20
580,40,30,600,20
580,43,24,600,20
580,23,25,600,20
580,23,32,600,20
580,26,37,600,20
580,26,38,600,20
580,28,37,600,20
580,41,46,600,20
580,41,47,600,20
580,106,102,600,20
580,99,110,600,20
580,101,117,600,20
580,105,110,600,20
580,109,112,600,20
580,79,78,600,20
580,108,231,600,20
580,78,74,600,20
580,231,119,600,20
580,231,103,600,20
580,77,76,600,20
580,3,11,600,20
580,18,10,600,20
580,14,4,600,20
580,116,103,600,20
600,215,216,620,20
600,207,220,620,20
600,216,217,620,20
600,148,159,620,20
600,143,157,620,20
600,124,137,620,20
600,128,120,620,20
600,52,54,620,20
600,52,55,620,20
600,237,78,620,20
600,237,74,620,20
600,40,30,620,20
600,23,25,620,20
600,24,26,620,20
600,26,37,620,20
600,26,38,620,20
600,28,37,620,20
600,41,47,620,20
600,34,44,620,20
600,88,72,620,20
600,96,95,620,20
600,138,121,620,20
600,98,115,620,20
600,101,117,620,20
600,105,110,620,20
600,231,116,620,20
600,77,76,620,20
600,19,21,620,20
600,19,14,620,20
600,18,10,620,20
600,16,10,620,20
600,111,97,620,20
600,110,113,620,20
600,104,97,620,20
600,49,60,620,20
620,215,208,640,20
620,215,223,640,20
620,205,210,640,20
620,205,221,640,20
620,210,221,640,20
620,210,216,640,20
620,212,206,640,20
620,212,219,640,20
620,207,220,640,20
620,213,220,640,20
620,213,218,640,20
620,208,223,640,20
620,206,236,640,20
620,148,159,640,20
620,141,161,640,20
620,151,152,640,20
620,54,48,640,20
620,56,60,640,20
620,40,30,640,20
620,26,37,640,20
620,28,35,640,20
620,41,47,640,20
620,34,44,640,20
620,88,72,640,20
620,233,99,640,20
620,22,19,640,20
620,22,21,640,20
620,106,102,640,20
620,99,231,640,20
620,99,110,640,20
620,99,113,640,20
620,101,117,640,20
620,102,112,640,20
620,121,103,640,20
620,105,110,640,20
620,105,104,640,20
620,77,76,640,20
620,19,12,640,20
620,20,7,640,20
620,0,8,640,20
620,111,104,640,20
620,110,104,640,20
620,110,113,640,20
620,175,165,640,20
620,234,49,640,20
640,215,208,660,20
640,215,223,660,20
640,205,207,660,20
640,205,221,660,20
640,205,225,660,20
640,209,227,660,20
640,212,219,660,20
640,212,222,660,20
640,207,221,660,20
640,207,220,660,20
640,213,225,660,20
640,208,223,660,20
640,206,226,660,20
640,225,223,660,20
640,158,156,660,20
640,160,155,660,20
640,123,102,660,20
640,125,97,660,20
640,132,104,660,20
640,219,222,660,20
640,129,97,660,20
640,128,106,660,20
640,54,48,660,20
640,62,234,660,20
640,40,30,660,20
640,23,25,660,20
640,26,37,660,20
640,28,37,660,20
640,88,72,660,20
640,133,97,660,20
640,106,97,660,20
640,81,91,660,20
640,81,71,660,20
640,121,103,660,20
640,79,78,660,20
640,20,7,660,20
640,0,16,660,20
640,177,165,660,20
640,179,180,660,20
640,49,67,660,20
660,215,223,680,20
660,209,227,680,20
660,210,213,680,20
660,210,225,680,20
660,212,222,680,20
660,207,221,680,20
660,207,220,680,20
660,213,225,680,20
660,206,226,680,20
660,186,185,680,20
660,185,204,680,20
660,225,223,680,20
660,142,228,680,20
660,158,154,680,20
660,160,155,680,20
660,139,104,680,20
660,132,104,680,20
660,219,222,680,20
660,128,106,680,20
660,127,121,680,20
660,52,55,680,20
660,54,48,680,20
660,56,234,680,20
660,56,60,680,20
660,40,30,680,20
660,23,25,680,20
660,26,37,680,20
660,42,36,680,20
660,34,44,680,20
660,88,72,680,20
660,138,103,680,20
660,133,107,680,20
660,81,91,680,20
660,79,78,680,20
660,0,18,680,20
660,3,10,680,20
660,179,180,680,20
660,59,67,680,20
680,215,223,700,20
680,205,210,700,20
680,210,225,700,20
680,212,222,700,20
680,207,220,700,20
680,213,225,700,20
680,186,187,700,20
680,142,158,700,20
680,142,154,700,20
680,123,129,700,20
680,139,138,700,20
680,50,51,700,20
680,54,48,700,20
680,40,30,700,20
680,23,25,700,20
680,26,37,700,20
680,42,39,700,20
680,22,3,700,20
680,22,5,700,20
680,106,108,700,20
680,81,91,700,20
680,77,76,700,20
680,19,5,700,20
680,0,8,700,20
680,14,4,700,20
700,215,223,720,20
700,205,210,720,20
700,210,225,720,20
700,213,225,720,20
700,143,157,720,20
700,142,150,720,20
700,142,151,720,20
700,134,122,720,20
700,54,48,720,20
700,56,49,720,20
700,23,25,720,20
700,26,38,720,20
700,42,39,720,20
700,34,32,720,20
700,39,32,720,20
700,152,154,720,20
700,81,91,720,20
700,99,113,720,20
700,79,78,720,20
700,77,76,720,20
700,14,4,720,20
700,12,7,720,20
700,11,10,720,20
700,11,6,720,20
700,104,112,720,20
720,215,223,740,20
720,205,221,740,20
720,210,213,740,20
720,210,225,740,20
720,213,225,740,20
720,148,160,740,20
720,142,156,740,20
720,150,151,740,20
720,151,152,740,20
720,140,119,740,20
720,52,68,740,20
720,56,62,740,20
720,23,25,740,20
720,26,37,740,20
720,26,38,740,20
720,42,39,740,20
720,41,47,740,20
720,39,32,740,20
720,152,145,740,20
720,152,154,740,20
720,79,78,740,20
720,77,76,740,20
720,20,7,740,20
740,215,210,760,20
740,215,223,760,20
740,210,221,760,20
740,210,225,760,20
740,211,226,760,20
740,213,225,760,20
740,206,226,760,20
740,186,204,760,20
740,221,225,760,20
740,225,223,760,20
740,142,144,760,20
740,142,157,760,20
740,150,153,760,20
740,150,157,760,20
740,150,145,760,20
740,146,158,760,20
740,153,145,760,20
740,158,151,760,20
740,158,145,760,20
740,151,228,760,20
740,151,152,760,20
740,125,116,760,20
740,134,122,760,20
740,54,48,760,20
740,56,49,760,20
740,228,152,760,20
740,40,31,760,20
740,26,38,760,20
740,42,39,760,20
740,39,32,760,20
740,79,78,760,20
740,77,76,760,20
740,20,7,760,20
760,215,223,780,20
760,205,221,780,20
760,210,225,780,20
760,211,206,780,20
760,207,220,780,20
760,206,226,780,20
760,186,204,780,20
760,216,217,780,20
760,225,223,780,20
760,148,158,780,20
760,142,144,780,20
760,142,154,780,20
760,151,228,780,20
760,151,154,780,20
760,134,122,780,20
760,52,55,780,20
760,56,49,780,20
760,96,75,780,20
760,77,76,780,20
760,20,7,780,20
760,176,177,780,20
780,215,223,800,20
780,205,207,800,20
780,210,213,800,20
780,210,223,800,20
780,207,220,800,20
780,213,225,800,20
780,206,226,800,20
780,216,236,800,20
780,225,223,800,20
780,148,158,800,20
780,160,155,800,20
780,151,228,800,20
780,151,157,800,20
